"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Header","0","0","Validación de Redes Sociales","0"
"0","","0","Componente Lateral","1","0","Validación de Ranking Más Leídas","0"
"1","","0","Videolab","0","0","Validación Estricta con XPaths y Clases del Usuario","0"
"1","","0","Shorts","0","0","Validación Estricta con XPaths de Usuario y Bloqueo de Ads","0"
"0","","0","Footer","1","0","Validación de Redes Sociales","0"
"0","","0","Reproductor de Audio","1","0","Validación de Controles Trinity","0"
"0","","0","Navegación","1","0","Validación de Tags","0"
"0","","0","Social Share","1","0","Validación de Toolbar de Compartir","0"
"0","","0","Notificaciones","1","0","Configuración de Preferencias","0"
